[2017-04-28 12:58:05.828991] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 12:58:05.837444] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 12:58:05.838485] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 12:58:05.840142] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 12:58:05.841411] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 12:58:05.842813] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 12:58:05.844702] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 12:58:15.816948] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 12:58:15.828449] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 12:58:15.829319] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 12:58:15.837641] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 12:58:15.840224] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 12:58:15.841191] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 12:58:15.842831] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 12:58:15.844585] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 12:58:15.848261] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 12:58:25.817720] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 12:58:25.824679] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 12:58:25.826658] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 12:58:25.835697] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 12:58:25.842107] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 12:58:25.844633] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 12:58:25.847592] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 12:58:25.849235] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 12:58:25.851192] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 12:58:35.816362] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 12:58:35.824881] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 12:58:35.826238] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 12:58:35.840712] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 12:58:35.843438] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 12:58:35.844776] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 12:58:35.845742] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 12:58:35.849405] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 12:58:35.850677] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 12:58:45.816311] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 12:58:45.826504] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 12:58:45.826584] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 12:58:45.835623] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 12:58:45.837794] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 12:58:45.844924] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 12:58:45.846918] nw_src None nw_dst  10.0.0.7 | packet count 1 | byte count 98
[2017-04-28 12:58:45.847878] nw_src None nw_dst  10.0.0.9 | packet count 4 | byte count 392
[2017-04-28 12:58:45.850792] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
[2017-04-28 12:58:55.816817] nw_src None nw_dst  10.0.0.1 | packet count 0 | byte count 0
[2017-04-28 12:58:55.823604] nw_src None nw_dst  10.0.0.2 | packet count 0 | byte count 0
[2017-04-28 12:58:55.826623] nw_src None nw_dst  10.0.0.3 | packet count 0 | byte count 0
[2017-04-28 12:58:55.832470] nw_src None nw_dst  10.0.0.4 | packet count 0 | byte count 0
[2017-04-28 12:58:55.839130] nw_src None nw_dst  10.0.0.6 | packet count 1 | byte count 98
[2017-04-28 12:58:55.846065] nw_src None nw_dst  10.0.0.5 | packet count 1 | byte count 98
[2017-04-28 12:58:55.851197] nw_src None nw_dst  10.0.0.8 | packet count 1 | byte count 98
